
01-05-2022 14:39,CUB - online payment,To gobi 1st 1/4th,500,Expense
01-05-2022 14:37,CUB - online payment,To abijith and to vicky lend money returned,500,Expense
01-05-2022 14:35,CUB - online payment,Refund for bus ticket,60,Expense
01-05-2022 14:30,CUB - online payment,Lunch with company,388,Expense
01-04-2022 22:11,CUB - online payment,Arrear and reval fee,1400,Expense
01-04-2022 22:10,CUB - online payment,Salary,8000,Income
01-04-2022 13:53,CUB - online payment,Lunch with company,106,Expense
01-04-2022 08:01,CUB - online payment,To vicky,80,Expense
01-04-2022 07:58,CUB - online payment,Sent to preethi,107,Expense
01-03-2022 22:15,CUB - online payment,Dairy milk,10,Expense
01-03-2022 21:54,CUB - online payment,From barath,201,Income
01-03-2022 21:12,CUB - online payment,From gpay,5,Income
01-03-2022 21:11,CUB - online payment,From shakur,140,Income
01-03-2022 14:31,CUB - online payment,Lunch unlimited nv,300,Expense
01-03-2022 14:30,CUB - online payment,From abi,300,Income
01-02-2022 20:33,CUB - online payment,Tablet to gowdham,8,Expense
01-02-2022 20:32,CUB - online payment,Dinner with barath,200,Expense
01-02-2022 14:16,CUB - online payment,Train to vnr,725,Expense
01-01-2022 21:46,CUB - online payment,Snacks,85,Expense
01-01-2022 21:45,CUB - online payment,From dad,1000,Income
12/30/2021 14:10,CUB - online payment,To barath,20,Expense
12/30/2021 13:56,CUB - online payment,Pg to office,43,Expense
12/30/2021 13:36,CUB - online payment,From kumara,30,Income
12/30/2021 12:43,CUB - online payment,Horlicks + kolakattai,25,Expense
12/30/2021 12:38,CUB - online payment,Bommasandra to pg,199,Expense
12/30/2021 12:37,CUB - online payment,From Deepak,250,Income
12/30/2021 11:45,CUB - online payment,Water,20,Expense
12/30/2021 11:45,CUB - online payment,From abi,20,Income
12/30/2021 11:45,CUB - online payment,Rapido + toll,286,Expense
12/30/2021 11:44,CUB - online payment,From Deepak,250,Income
12/28/2021 13:42,CUB - online payment,Coffee and thattai,14,Expense
12/27/2021 13:45,CUB - online payment,Lunch with barath,115,Expense
12/27/2021 13:44,CUB - online payment,From vicky,80,Income
12/27/2021 12:33,CUB - online payment,From ganesan,40,Income
12/27/2021 12:33,CUB - online payment,Coconut water with stu,50,Expense
12/25/2021 22:53,CUB - online payment,Dinner with barath,504,Expense
12/25/2021 20:46,CUB - online payment,Cab,306,Expense
12/25/2021 19:50,CUB - online payment,Books,400,Expense
12/25/2021 17:01,CUB - online payment,Corn,30,Expense
12/25/2021 15:35,CUB - online payment,Water,30,Expense
12/25/2021 13:32,CUB - online payment,Milk with bharath,40,Expense
12/24/2021 21:49,CUB - online payment,Beer,150,Expense
12/24/2021 14:35,CUB - online payment,Lunch with company,262,Expense
12/23/2021 16:31,CUB - online payment,Lemon tea with company,15,Expense
12/23/2021 13:51,CUB - online payment,Puffs and coffee,32,Expense
12/21/2021 20:53,CUB - online payment,Dinner with barath,239,Expense
12/21/2021 14:02,CUB - online payment,Puffs,25,Expense
12/21/2021 11:43,CUB - online payment,Bun,18,Expense
12/20/2021 19:23,CUB - online payment,Milk with bharath,80,Expense
12/20/2021 19:22,CUB - online payment,Taxi,80,Expense
12/20/2021 16:55,CUB - online payment,Snacks,20,Expense
12/20/2021 15:29,CUB - online payment,Water,20,Expense
12/20/2021 13:35,CUB - online payment,Lunch with barath,85,Expense
12/20/2021 9:46,CUB - online payment,Milk with bharath,40,Expense
12/19/2021 15:51,CUB - online payment,To siva,100,Expense
12/18/2021 21:01,CUB - online payment,To kumara,100,Expense
12/18/2021 21:01,CUB - online payment,To abijith,200,Expense
12/18/2021 21:00,CUB - online payment,To rahul,113,Expense
12/18/2021 21:00,CUB - online payment,From dad,1000,Income
12/18/2021 19:52,CUB - online payment,Lended money,400,Income
12/18/2021 19:51,CUB - online payment,Spiderman ,363.72,Expense
12/18/2021 14:19,CUB - online payment,Lunch,160,Expense
12/17/2021 18:54,CUB - online payment,Milk with bharath,70,Expense
12/17/2021 14:45,CUB - online payment,Lunch with company,110,Expense
12/17/2021 8:35,CUB - online payment,Gave to gowdham,50,Expense
12/16/2021 18:44,CUB - online payment,Egg,30,Expense
12/16/2021 18:35,CUB - online payment,Panipoori,20,Expense
12/16/2021 13:38,CUB - online payment,Lunch,30,Expense
12/16/2021 10:42,CUB - online payment,Milk with bharath,110,Expense
12/14/2021 23:54,CUB - online payment,Lunch,40,Expense
12/14/2021 21:21,CUB - online payment,Snacks,75,Expense
12/14/2021 21:03,CUB - online payment,Panipoori,80,Expense
12/14/2021 15:18,CUB - online payment,Snacks,74,Expense
12/14/2021 10:33,CUB - online payment,Milk with bharath,65,Expense
